7,7,23,23,7,23,23,23,7,23,23,23,23,23,23,102,100,67,67,22,45,41,22,45,45,41,22,45,46,47
27,27,5,6,27,23,5,6,27,0,1,1,1,4,9,10,78,79,67,67,67,83,84,45,41,41,22,45,41,22
47,47,25,26,47,23,25,26,47,20,41,22,23,43,29,30,98,99,67,67,67,103,104,45,41,22,45,45,46,41
41,41,41,22,23,47,47,47,48,40,41,42,43,2,49,50,118,119,67,67,41,41,22,7,83,84,67,83,84,7
41,41,5,6,41,41,22,42,22,60,62,43,63,64,48,70,100,67,67,67,67,83,84,27,103,104,8,103,104,27
41,41,25,26,41,41,41,22,42,43,47,48,48,48,8,102,100,67,67,67,67,103,104,45,45,45,27,41,22,47
41,42,41,41,42,41,41,0,2,45,3,4,47,48,28,102,100,41,22,83,84,0,1,1,47,3,1,1,4,41
22,23,41,41,42,46,47,20,41,22,23,24,47,48,48,102,100,41,22,103,104,20,67,67,22,22,22,65,24,41
42,43,23,8,5,6,8,40,41,42,43,44,48,47,48,102,100,46,22,22,22,40,68,0,47,22,4,47,24,41
22,22,23,28,25,26,28,60,62,45,63,64,8,83,121,122,100,46,46,22,22,20,65,40,47,23,24,22,24,42
22,22,23,22,23,22,48,22,23,45,45,48,28,102,80,81,104,46,46,22,22,40,68,15,16,17,64,47,44,42
65,22,15,16,16,17,41,42,43,45,8,48,48,102,105,45,46,22,46,45,46,20,42,35,36,37,5,6,24,42
41,22,35,18,19,37,41,7,43,47,28,45,8,102,105,45,46,5,6,45,46,40,41,55,56,57,25,26,44,42
41,22,35,38,39,37,22,27,43,67,68,65,28,102,105,45,41,25,26,45,46,60,61,47,63,61,61,61,64,42
41,22,55,56,56,57,7,7,43,5,6,48,48,102,105,41,41,41,41,47,41,42,46,46,46,41,42,41,42,48
41,22,23,22,22,22,27,27,43,25,26,41,42,102,105,41,22,83,121,121,121,121,121,121,121,121,121,121,121,121
41,42,22,22,22,7,47,47,7,22,22,22,23,102,120,121,126,122,80,81,82,123,123,80,81,82,123,80,81,82
47,47,22,22,22,27,54,111,27,7,22,22,23,102,123,123,123,123,100,101,102,123,123,100,101,102,123,100,42,102
67,67,67,67,47,8,66,47,47,27,22,22,23,102,123,123,123,123,120,121,122,123,123,125,121,122,123,100,101,102
22,22,65,65,67,28,66,47,47,47,47,22,23,102,123,123,123,123,123,123,123,123,123,123,123,123,123,120,121,122
